Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"477","1041997","1042062","1041971","1041987","Highmaul","Highmaul is the seat of power for the Gorian Empire, the ogre civilization that ruled Draenor for generations, until the arrival of the draenei. A massive city that belies the ogre reputation for brutish stupidity, Highmaul is full of bustling markets, wealthy nobles, and the roar of the Coliseum crowd echoing through the streets of the slums. Visible from everywhere within the city's walls, Imperator Mar'gok's citadel casts a long shadow, a reminder of his watchful eye and iron grip.","1228","0","2","0"
"536","1041996","1042061","1041970","1041986","Grimrail Depot","The Grimrail Depot is a vital hub in the Iron Horde war machine, allowing for the transport of troops and materiel produced in the Blackrock Foundry to the front lines of the war being waged across Draenor. The Depot's namesake is the Grimrail itself, a massive train that can bear entire battalions of troops and artillery. On this day, the Grimrail has been fitted with a massive railgun powerful enough to shatter the shield protecting Shattrath, and is about to depart....","1208","0","0","0"
"537","1041998","1042063","1041972","1041988","Shadowmoon Burial Grounds","The traditional burial grounds of the Shadowmoon clan are the final resting place for countless generations of ancestors. The fallen chieftain Ner'zhul, in the depths of his depravity, has sacrificed the very soul of his clan in a desperate quest for power. Now the ancestral spirits are restless, tormented and used to fuel dark rituals that will pull all of Draenor into the void if allowed to run their course.","1176","0","0","0"
"547","1041992","1042057","1041966","1041982","Auchindoun","Auchindoun is the holy mausoleum of the draenei, a sanctum of the Light in which the spirits of the dead find respite. The crystalline structure also serves to protect and shield draenei souls from their eternal enemies: the Burning Legion, who hunger eternally for draenei spirits. This fact makes it a location of particular interest to Gul'dan and his Shadow Council, who seek to gain favor with their demonic masters.","1182","0","0","0"
"556","1060547","1060551","1060543","1060545","The Everbloom","After the disruption of the Dark Portal, the Kirin Tor realized that to fight the Iron Horde on their own soil, they would need a supply line for reinforcements. Thus, they created outposts across Draenor with magical links back to Azeroth. Unfortunately, what seemed like a prime strategic location near the Blackrock Foundry was known to the botani as The Everbloom, a sacred place within the Gorgrond woodlands. The outpost was quickly overgrown, but it still contains a link to the outskirts of Stormwind....","1279","0","0","0"
"557","1041995","1042060","1041969","1041985","Draenor","Draenor is a savage land, birthplace of the orcish race yet named by draenei refugees hundreds of years ago. For generations, orcs, draenei, and the Gorian ogre imperium all coexisted, though not without strife and territorial skirmishes. Ancient and primal forces of creation and destruction clashed, maintaining equilibrium through violence. This is the world on which Garrosh awoke after his escape. And now, thanks to the Iron Horde and the dark hand of Gul'dan, the fate of two worlds hangs in the balance.","1228","0","1","0"
"558","1060548","1060552","1060544","1060546","Iron Docks","On the northern coast of Gorgrond, the Iron Docks represent the heart of the Iron Horde's naval might. Huge warships and artillery, forged and assembled within the Blackrock Foundry, are readied for war within this massive port. The greatest beasts of Draenor are broken and trained alongside elite infantry units, comprising the ground troops that will surge ashore to break the will of any who would dare oppose the Iron Horde.","1195","0","0","0"
"559","1042000","1042065","1041974","1041990","Upper Blackrock Spire","The history of this imposing fortress is long and complex. Carved into the fiery core of Blackrock Mountain by the Dark Iron clan centuries ago, and eventually taken by the black dragon Nefarian and his brood, the upper reaches of Blackrock Spire are now home to the Ironmarch vanguard. As preparations to use the Spire as the staging ground for a full-scale invasion of Azeroth continue, the Iron Horde has set up a terrifying contingency plan: a doomsday weapon within the heart of Blackrock Mountain.","1358","0","0","0"
"669","1135118","136340","1135117","1135119","Hellfire Citadel","When Garrosh encouraged Grommash to begin construction of this massive stronghold at the heart of Tanaan Jungle, to serve as a staging ground for the assault of Azeroth, he even suggested the name Hellfire, pulled from a different time and a different land. He dreamed of seeing mighty orcish iron towering over an unblighted landscape, so very different from the wasteland he had known in Outland. But even as times change, so too do they stay the same.","1448","0","4","0"
"707","1411858","1411870","1411846","1411852","Vault of the Wardens","This secret Warden facility was carved into the mountainside deep in Azsuna, and sealed with magical wards both to keep intruders out, and to ensure that the terrors locked within could never escape. Many of the most dangerous foes the Wardens have encountered were locked away within the Vault, but in the aftermath of Cordana's betrayal and the Legion's attack, those creatures now roam the halls freely.","1493","0","0","0"
"716","1498157","1498161","1498149","1498153","Eye of Azshara","Amidst outlying shoals off the coast of Azsuna, an ancient source of power lies beneath the waves. Long ago, the power of Queen Azshara extended throughout these lands, and the naga seeking the Tidestone of Golganneth still act at her behest. As clouds roll in and the air crackles with the energy of an approaching storm, Azshara's followers prepare to summon an incarnation of her Wrath to lay waste to the land.","1456","0","0","0"
"721","1498158","1498162","1498150","1498154","Halls of Valor","In the clouds high above Stormheim, the titanic keeper Odyn has called the greatest vrykul warriors of Azeroth to be his Valarjar. Amidst feasting halls and hunting grounds, these ascended vrykul test themselves and prepare for the great war that is to come. Adventurers must pass through these halls and prove their worth if they hope to stand before Odyn and claim the Aegis of Aggramar.","1477","0","0","0"
"726","1411857","1411869","1411845","1411851","The Arcway","As vast as the city of Suramar is, the vast network of tunnels beneath the city spans an even greater reach. Nightborne society has grown to depend on the power of the Nightwell, and the Arcway delivers that lifeblood throughout the city. This labyrinthine complex was built thousands of years ago, running beneath the foundations of the city's largest buildings, and most modern citizens live their lives entirely unaware of what may lurk in the shadows beneath their feet....","1516","0","0","0"
"727","1411856","1411868","1411844","1411850","Maw of Souls","While the greatest vrykul warriors are spirited away to the Halls of Valor to glory eternal, shiny and gold, the cursed and the damned find themselves on the shores of the Maw of Souls. Amidst fog and mist, they await the Naglfar, a fearsome ship formed from sinew and bone, which comes to deliver these poor souls to Helheim, and the clutches of Helya.","1492","0","0","0"
"740","1411853","1411865","1411841","1411847","Black Rook Hold","Carved from the greatest mountain of Val'sharah by ancient elven masons, Black Rook Hold stood as a bulwark against the Burning Legion during the War of the Ancients. The nigh-impregnable fortress is also the ancestral home of Lord Kur'talos Ravencrest, one-time mentor of Illidan himself. But since the latest Legion attack, a strange dark energy emanates from the Hold, and restless dead plague the surrounding lands.","1501","0","0","0"
"741","1396586","136346","1396460","1396505","Molten Core","","409","0","0","0"
"742","1396580","136329","1396454","1396499","Blackwing Lair","","469","0","1","0"
"743","1396591","136320","1396465","1396510","Ruins of Ahn'Qiraj","","509","0","2","0"
"744","1396593","136321","1396467","1396512","Temple of Ahn'Qiraj","","531","0","3","0"
"745","1396584","136343","1396458","1396503","Karazhan","","532","0","0","0"
"746","1396582","136337","1396456","1396501","Gruul's Lair","","565","0","1","0"
"747","1396585","136340","1396459","1396504","Magtheridon's Lair","","544","0","2","0"
"748","608199","136356","608160","608238","Serpentshrine Cavern","","548","0","3","0"
"749","608218","136362","608179","608257","The Eye","","550","0","4","0"
"750","608198","136330","608159","608237","The Battle for Mount Hyjal","","534","0","5","0"
"751","1396579","136328","1396453","1396498","Black Temple","","564","0","6","0"
"752","1396592","136361","1396466","1396511","Sunwell Plateau","","580","0","7","0"
"753","1396596","303841","1396470","1396515","Vault of Archavon","","624","0","0","0"
"754","1396587","136347","1396461","1396506","Naxxramas","","533","0","1","0"
"755","1396588","237594","1396462","1396507","The Obsidian Sanctum","","615","0","2","0"
"756","1396581","237600","1396455","1396500","The Eye of Eternity","","616","0","3","0"
"757","1396594","311221","1396468","1396513","Trial of the Crusader","","649","0","5","0"
"758","1396583","336390","1396457","1396502","Icecrown Citadel","","631","0","7","0"
"759","1396595","304502","1396469","1396514","Ulduar","","603","0","4","0"
"760","1396589","329121","1396463","1396508","Onyxia's Lair","","249","0","6","0"
"761","1396590","366689","1396464","1396509","The Ruby Sanctum","","724","0","8","0"
"762","1411855","1411867","1411843","1411849","Darkheart Thicket","In the shadow of Shaladrassil, the Nightmare permeates every inch of the once-lush forest. Where the eldest and greatest druids once tended to the woods, meditating beneath the great world tree, corruption and madness now reign. Deep within the tangled thicket, the Nightmare Lord Xavius works to break the will of his greatest prize.","1466","0","0","0"
"767","1450574","1450576","1450570","1450572","Neltharion's Lair","The Earth Warder Neltharion, later known as Deathwing, once called this cavern home. Since his fall, the drogbar that once worshipped the great dragon built their capital within this ancient lair. Now, Dargrul, chieftain of the drogbar, rallies a massive army within these depths. Bolstered by the Hammer of Khaz'goroth, this army will surge from the mountainside if left unchecked, devastating Highmountain and threatening the security of all Azeroth.","1458","0","0","0"
"768","1452687","1452699","1452686","1452688","The Emerald Nightmare","The Emerald Dream was created by the titans as a blueprint for Azeroth itself - a verdant and perfect mirror that reflects the state of nature had it remained unspoiled by so-called civilization. For many years, the druids and keepers who are closest to nature have noticed signs of an unsettling presence stirring within the Dream. Spurred on by the Legion and Nightmare Lord Xavius, that creeping corruption has now burst forth, and will engulf all of Azeroth if it is not rooted out at its source.","1520","0","2","0"
"777","1498155","1498159","1498147","1498151","Assault on Violet Hold","In the aftermath of the Northrend campaign and the Blue Dragonflight's attack on this Dalaran prison, the Violet Hold was repaired and its cells were repurposed to house some of the most dangerous servants of the Lich King. Now, as Dalaran floats above the Broken Isles as the flagship of the war against the Legion, a shadowy threat once again seeks to strike at Kirin Tor from within.","1544","0","0","0"
"786","1450575","1450577","1450571","1450573","The Nighthold","The largest structure in the Broken Isles, and among the grandest in all of Azeroth, the Nighthold stands as a testament to the achievements of the nightborne civilization. Centered around the Nightwell, the fount of arcane power that has sustained Suramar for centuries, these grounds were built as a haven from the worries of the world. But as a felstorm churns above the former temple of Elune across the bay, and Gul'dan himself now resides within the palace's walls, those worries now begin, not end, here.","1530","0","4","0"
"800","1498156","1498160","1498148","1498152","Court of Stars","Even as Legion troops patrol the streets, casting a pall over the grand city of Suramar, the socialites of the Nightborne nobility continue to cling to custom and routine. On this clear night, the cry of revelers echoes through the chill air, as the largest mansion in the Noble District opens its doors for a grand gala. Rumor has it that Grand Magistrix Elisande herself may be making an appearance, in an effort to reassure several of her closest allies despite recent turmoil.","1571","0","0","0"
"822","1411854","1411866","1411842","1411848","Broken Isles","This area once stood as the cradle of elven civilization, centered around the ancient elven capital of Suramar, until the Sundering tore the land apart. While the power of the Nightwell preserved the city of Suramar, the surrounding lands bear the scars of that catastrophic event. But now Gul'dan has awakened the Tomb of Sargeras, and from the tauren camps in the peaks of Highmountain, to the druidic groves of Val'sharah, to vrykul settlements that dot Stormheim, the Isles live in the shadow of the Legion.","1520","0","1","2"
"860","1537283","1537287","1537279","1537281","Return to Karazhan","From the moment of its mysterious creation, the purpose of this dark tower has been intertwined with the history of the Guardians of Tirisfal, once Azeroth's greatest bulwark against the Legion. It is now best known as the home of Medivh, who tragically betrayed Azeroth and brought the unbroken chain of Guardians to an end. This legacy makes Karazhan a place of particular interest for the Legion, who have descended in full force in an effort to open a new front in their war on the denizens of Azeroth.","1651","0","0","0"
"861","1537284","1537288","1537280","1537282","Trial of Valor","Since Loken's betrayal, Odyn has been trapped within the Halls of Valor as Helya plots in the shadows to claim the souls of his valarjar champions. In recent days, however, great heroes have arrived in the lands of Stormheim in the Legion's wake. Hoping that their might and determination could tip the scales and end Helya's reign, Odyn summons these champions for a final test.","1648","0","3","0"
